Farmer ID,Region,Farm Size (ha),Crop Type,Annual Income (INR),Age Group,Tech Adoption,Primary Farming Method,Mobile Availability,Computer Availability,Irrigation Type,Has Mobile/Computer
54,West,0.6,Rice,247459,56+,Medium,Precision,True,False,Sprinkler,False
55,East,5.4,Sugarcane,199143,56+,High,Precision,True,False,Rain-fed,True
56,West,4.5,Rice,240347,18-35,High,Traditional,True,False,Rain-fed,True
57,West,2.6,Maize,61938,18-35,Medium,Precision,True,False,Canal,False
58,North,1.6,Rice,478411,36-55,Low,Traditional,True,True,Rain-fed,True
59,East,3.7,Rice,403824,56+,Low,Organic,False,True,Canal,True
60,North,9.5,Rice,54000,56+,Medium,Precision,True,True,Rain-fed,True
61,East,3.6,Wheat,251660,18-35,Medium,Traditional,True,False,Drip,False
62,East,5.4,Wheat,413186,36-55,Medium,Traditional,True,True,Canal,True
63,North,7.2,Wheat,405754,56+,Medium,Precision,True,False,Rain-fed,False
64,North,4.0,Maize,301492,56+,Medium,Organic,True,False,Sprinkler,True
65,East,9.7,Sugarcane,415835,36-55,Low,Organic,True,False,Rain-fed,True
66,South,9.6,Cotton,88304,36-55,Low,Organic,True,False,Sprinkler,True
67,West,2.9,Rice,381593,56+,Medium,Traditional,True,True,Sprinkler,False
68,North,5.2,Rice,132986,56+,High,Traditional,False,False,Drip,True
69,West,3.4,Maize,201836,36-55,Medium,Traditional,True,False,Canal,False
70,South,3.2,Rice,158940,56+,High,Traditional,True,True,Rain-fed,False
71,South,0.9,Wheat,350638,18-35,Medium,Organic,True,False,Drip,True
72,South,6.3,Cotton,315517,18-35,Medium,Precision,True,False,Rain-fed,True
73,North,5.3,Soybean,193233,36-55,Low,Traditional,True,False,Sprinkler,True
74,South,1.0,Rice,147532,36-55,High,Traditional,True,False,Canal,True
75,North,3.1,Wheat,404802,36-55,High,Organic,True,False,Rain-fed,True
76,South,9.1,Soybean,435777,18-35,Low,Precision,True,True,Rain-fed,True
77,West,2.8,Cotton,150386,56+,Low,Precision,True,True,Sprinkler,False
78,West,1.9,Soybean,77350,18-35,Low,Organic,True,False,Rain-fed,False
79,East,5.1,Wheat,143008,56+,Low,Organic,True,False,Rain-fed,True
80,West,9.9,Sugarcane,406441,18-35,High,Precision,True,True,Sprinkler,True
81,East,2.8,Sugarcane,75351,56+,High,Traditional,True,True,Drip,True
82,West,6.9,Soybean,138668,18-35,Medium,Precision,True,False,Sprinkler,False
83,North,7.7,Maize,164585,36-55,Medium,Organic,True,False,Drip,True
84,West,2.8,Soybean,458521,18-35,Low,Traditional,True,False,Canal,False
85,East,7.4,Rice,387497,56+,Low,Traditional,True,True,Drip,True
86,East,4.0,Rice,257869,18-35,Low,Organic,False,True,Drip,False
87,South,6.5,Sugarcane,115953,18-35,Medium,Organic,True,True,Canal,True
88,North,6.5,Maize,369602,18-35,Medium,Organic,True,False,Drip,True
89,West,5.6,Wheat,332502,36-55,Medium,Precision,True,True,Sprinkler,False
90,South,1.4,Rice,53267,18-35,Medium,Precision,False,False,Drip,True
91,West,8.4,Sugarcane,132745,36-55,Medium,Traditional,True,True,Canal,False
92,West,3.5,Cotton,401732,36-55,Medium,Organic,True,False,Sprinkler,False
93,South,2.3,Sugarcane,350657,18-35,Medium,Traditional,True,False,Canal,True
94,South,0.9,Rice,207164,18-35,Low,Traditional,True,False,Canal,True
95,South,6.1,Rice,61338,18-35,Low,Traditional,True,True,Rain-fed,False
96,South,6.9,Sugarcane,181484,56+,Low,Traditional,False,True,Rain-fed,True
97,South,0.7,Wheat,57543,18-35,Low,Organic,False,True,Canal,True
98,West,5.4,Soybean,418035,36-55,Medium,Traditional,True,False,Canal,True
99,South,2.7,Rice,476712,18-35,High,Organic,True,False,Canal,True
100,North,6.6,Sugarcane,110692,56+,Medium,Organic,False,False,Rain-fed,True
101,East,2.2,Sugarcane,270156,18-35,High,Precision,True,False,Rain-fed,True
102,South,7.1,Maize,273992,56+,Low,Organic,True,False,Drip,True
103,South,4.2,Soybean,356569,56+,Medium,Precision,True,True,Drip,True
104,West,9.4,Cotton,88756,18-35,Low,Organic,True,False,Canal,False
105,South,1.8,Wheat,68888,36-55,Medium,Organic,True,False,Sprinkler,True
106,South,3.7,Cotton,216807,56+,Low,Organic,True,True,Sprinkler,True
107,South,1.6,Soybean,359439,18-35,High,Precision,False,False,Rain-fed,True
108,West,9.3,Soybean,164352,18-35,High,Precision,False,True,Rain-fed,False
109,South,8.8,Soybean,395186,36-55,High,Traditional,True,True,Rain-fed,True
110,East,3.0,Cotton,135999,56+,Medium,Precision,True,False,Canal,True
111,West,6.8,Soybean,67955,56+,High,Precision,False,True,Sprinkler,False
112,East,8.3,Sugarcane,349985,18-35,Medium,Precision,True,False,Drip,True
113,West,5.8,Cotton,120640,18-35,High,Precision,True,True,Canal,False
114,South,5.5,Soybean,246582,36-55,High,Traditional,False,True,Drip,True
115,East,2.8,Sugarcane,478127,36-55,Medium,Precision,False,True,Drip,True
116,West,1.4,Maize,269798,56+,Medium,Organic,True,True,Canal,False
117,North,9.0,Soybean,450573,56+,High,Organic,True,False,Drip,True
118,South,9.1,Cotton,475695,18-35,Medium,Precision,True,True,Sprinkler,True
119,West,6.5,Rice,111476,56+,High,Precision,True,False,Drip,False
120,North,3.7,Soybean,356955,36-55,Medium,Organic,True,False,Sprinkler,True
121,West,3.8,Rice,217280,36-55,Low,Organic,True,False,Sprinkler,True
122,North,7.4,Sugarcane,201222,18-35,Low,Traditional,True,False,Sprinkler,False
123,South,9.0,Maize,121180,36-55,Low,Organic,True,False,Rain-fed,True
124,East,8.9,Wheat,224358,36-55,Low,Organic,True,True,Drip,False
125,North,7.9,Maize,162856,36-55,Low,Precision,True,True,Canal,True
126,West,6.6,Soybean,380594,36-55,High,Organic,False,True,Canal,True
127,South,1.3,Rice,464568,18-35,Low,Traditional,True,False,Drip,False
128,North,2.0,Rice,236141,18-35,Low,Organic,True,True,Rain-fed,True
129,West,9.0,Cotton,424032,56+,Low,Precision,True,False,Rain-fed,False
130,West,6.3,Rice,160448,36-55,Low,Precision,True,False,Sprinkler,False
131,West,0.6,Cotton,64397,56+,Medium,Organic,True,True,Drip,False
132,North,1.5,Sugarcane,484771,18-35,High,Precision,True,False,Drip,True
133,North,6.8,Wheat,228031,18-35,Low,Traditional,True,True,Canal,True
134,North,0.5,Soybean,443944,18-35,Low,Traditional,True,True,Drip,True
135,East,2.0,Cotton,493733,18-35,Low,Organic,True,False,Rain-fed,True
136,North,5.7,Wheat,169180,18-35,High,Organic,True,False,Drip,True
137,North,7.1,Rice,116234,18-35,Medium,Organic,False,False,Canal,True
138,North,6.7,Rice,89954,18-35,High,Precision,True,False,Sprinkler,True
139,East,2.6,Wheat,228352,36-55,Medium,Traditional,True,True,Canal,True
140,North,7.3,Rice,129459,56+,Low,Traditional,True,False,Canal,True
141,West,2.8,Sugarcane,459995,18-35,Low,Precision,True,False,Sprinkler,False
142,North,3.6,Sugarcane,245004,36-55,High,Traditional,True,False,Canal,False
143,West,7.6,Wheat,467682,36-55,High,Organic,True,True,Canal,False
144,West,6.7,Cotton,480155,56+,Medium,Organic,False,False,Drip,False
145,West,8.6,Cotton,250968,18-35,Medium,Organic,True,True,Drip,False
146,East,6.7,Wheat,478486,56+,High,Traditional,True,True,Sprinkler,True
147,East,5.9,Cotton,109163,18-35,Medium,Organic,True,False,Drip,True
148,East,1.4,Cotton,101934,36-55,High,Precision,False,True,Drip,False
149,North,4.0,Sugarcane,245967,36-55,Medium,Precision,True,False,Canal,True
150,West,3.0,Cotton,475523,36-55,High,Traditional,True,False,Rain-fed,True
